service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
WD,1,1,1,1,1,0,0,20240819,20250516
WDF,1,1,1,1,0,0,0,20240819,20250516
WD_ISU,1,1,1,1,1,0,0,20240819,20250516
WDF_ISU,1,1,1,1,0,0,0,20240819,20250516
WD_WK1,1,1,1,1,1,0,0,20240819,20250516
WDX,0,0,0,0,0,0,0,20240819,20250516
MLX,0,0,0,0,1,1,0,20240819,20250516
MLXN,0,0,0,0,0,1,1,20240819,20250516
SA,0,0,0,0,0,1,0,20240819,20250516
SA_ISU,0,0,0,0,0,1,0,20240819,20250516
SU,0,0,0,0,0,0,1,20240819,20250516
SU_ISU,0,0,0,0,0,0,1,20240819,20250516
MTWR,1,1,1,1,0,0,0,20240819,20250516
TWRF,0,1,1,1,1,0,0,20240819,20250516
TEST,1,1,1,1,1,1,1,20240819,20250516
MWF,1,0,1,0,1,0,0,20240819,20250516
TTH,0,1,0,1,0,0,0,20240819,20250516
