service_id,date,exception_type
WDF_ISU,20240819,2
WD_ISU,20240819,2
WDF_ISU,20240820,2
WD_ISU,20240820,2
WDF_ISU,20240821,2
WD_ISU,20240821,2
WDF_ISU,20240822,2
WD_ISU,20240822,2
WD_ISU,20240823,2
WDF_ISU,20240902,2
WDF,20240902,2
WD_ISU,20240902,2
WD,20240902,2
WD_WK1,20240902,2
MLX,20241122,2
SA_ISU,20241123,2
MLXN,20241123,2
MLX,20241123,2
SU_ISU,20241124,2
MLXN,20241124,2
WDF_ISU,20241125,2
WD_WK1,20241125,2
WD_ISU,20241125,2
WDF_ISU,20241126,2
WD_WK1,20241126,2
WD_ISU,20241126,2
WDF_ISU,20241127,2
WD_WK1,20241127,2
WD_ISU,20241127,2
WDF_ISU,20241128,2
WDF,20241128,2
WD_WK1,20241128,2
WD_ISU,20241128,2
WD,20241128,2
WD_WK1,20241129,2
WD_ISU,20241129,2
WD,20241129,2
SA,20241129,1
MLX,20241129,2
SA_ISU,20241130,2
MLXN,20241130,2
MLX,20241130,2
SU_ISU,20241201,2
MLXN,20241201,2
MLX,20241220,2
SA_ISU,20241221,2
MLXN,20241221,2
MLX,20241221,2
SU_ISU,20241222,2
MLXN,20241222,2
WDF_ISU,20241223,2
WD_WK1,20241223,2
WD_ISU,20241223,2
WDF_ISU,20241224,2
WDF,20241224,2
WD_WK1,20241224,2
WD_ISU,20241224,2
WD,20241224,2
SA,20241224,1
WDF_ISU,20241225,2
WDF,20241225,2
WD_WK1,20241225,2
WD_ISU,20241225,2
WD,20241225,2
WDF_ISU,20241226,2
WD_WK1,20241226,2
WD_ISU,20241226,2
WD_WK1,20241227,2
WD_ISU,20241227,2
MLX,20241227,2
SA_ISU,20241228,2
MLXN,20241228,2
MLX,20241228,2
SU_ISU,20241229,2
MLXN,20241229,2
WDF_ISU,20241230,2
WD_WK1,20241230,2
WD_ISU,20241230,2
WDF_ISU,20241231,2
WDF,20241231,2
WD_WK1,20241231,2
WD_ISU,20241231,2
WDF_ISU,20250101,2
WDF,20250101,2
WD_WK1,20250101,2
WD_ISU,20250101,2
WD,20250101,2
WDF_ISU,20250102,2
WD_WK1,20250102,2
WD_ISU,20250102,2
WD_WK1,20250103,2
WD_ISU,20250103,2
MLX,20250103,2
SA_ISU,20250104,2
MLXN,20250104,2
MLX,20250104,2
SU_ISU,20250105,2
MLXN,20250105,2
WDF_ISU,20250106,2
WD_WK1,20250106,2
WD_ISU,20250106,2
WDF_ISU,20250107,2
WD_WK1,20250107,2
WD_ISU,20250107,2
WDF_ISU,20250108,2
WD_WK1,20250108,2
WD_ISU,20250108,2
WDF_ISU,20250109,2
WD_WK1,20250109,2
WD_ISU,20250109,2
WD_WK1,20250110,2
WD_ISU,20250110,2
MLX,20250110,2
SA_ISU,20250111,2
MLXN,20250111,2
MLX,20250111,2
SU_ISU,20250112,2
MLXN,20250112,2
WDF_ISU,20250113,2
WD_WK1,20250113,2
WD_ISU,20250113,2
WDF_ISU,20250114,2
WD_WK1,20250114,2
WD_ISU,20250114,2
WDF_ISU,20250115,2
WD_WK1,20250115,2
WD_ISU,20250115,2
WDF_ISU,20250116,2
WD_WK1,20250116,2
WD_ISU,20250116,2
WD_WK1,20250117,2
WD_ISU,20250117,2
MLX,20250117,2
SA_ISU,20250118,2
MLXN,20250118,2
MLX,20250118,2
SU_ISU,20250119,2
MLXN,20250119,2
WDF_ISU,20250120,2
WD_WK1,20250120,2
WD_ISU,20250120,2
MLX,20250314,2
SA_ISU,20250315,2
MLXN,20250315,2
MLX,20250315,2
SU_ISU,20250316,2
MLXN,20250316,2
WDF_ISU,20250317,2
WD_WK1,20250317,2
WD_ISU,20250317,2
WDF_ISU,20250318,2
WD_WK1,20250318,2
WD_ISU,20250318,2
WDF_ISU,20250319,2
WD_WK1,20250319,2
WD_ISU,20250319,2
WDF_ISU,20250320,2
WD_WK1,20250320,2
WD_ISU,20250320,2
WD_WK1,20250321,2
WD_ISU,20250321,2
MLX,20250321,2
SA_ISU,20250322,2
MLXN,20250322,2
MLX,20250322,2
SU_ISU,20250323,2
MLXN,20250323,2
MLX,20250418,2
MLXN,20250419,2
MLX,20250419,2
MLXN,20250420,2
MLX,20250516,2
